Designator,Mid X,Mid Y,Rotation,Layer
C101,150.185,-95.65,180.0,top
C105,145.325,-110.3,90.0,top
C106,128.6,-86.8,0.0,top
C107,128.6,-89.2,0.0,top
D101,110.75,-89.937501,270.0,top
D102,125.771339,-80.176413,90.0,top
F101,118.05,-80.25,0.0,top
J101,134.000001,-78.994902,180.0,top
J102,141.000001,-78.994902,180.0,top
J103,148.000001,-78.994902,180.0,top
J104,155.0,-78.994902,180.0,top
J105,123.8,-119.6,0.0,top
J106,157.6,-120.65,0.0,top
Q101,135.061872,-85.574372,270.0,top
Q102,142.0,-85.537501,270.0,top
Q103,149.0,-85.6,270.0,top
Q104,156.124372,-85.574372,270.0,top
Q105,149.636872,-113.810616,90.0,top
R101,120.75,-107.425,90.0,top
R102,124.803995,-107.425,90.0,top
R103,128.8,-107.425,90.0,top
R106,127.0,-107.425,90.0,top
R107,123.0,-107.425,90.0,top
R108,119.0,-107.425,90.0,top
R109,127.9,-80.3,270.0,top
R110,135.8,-90.0,90.0,top
R111,142.6,-90.0,90.0,top
R112,149.6,-90.0,90.0,top
R113,156.8,-90.0,90.0,top
R114,145.325,-113.4,90.0,top
R115,146.925,-113.4,270.0,top
RV101,163.46,-84.03,0.0,top
SG101,140.0,-100.0,0.0,top
SW101,140.0,-120.6,270.0,top
SW102,148.6,-120.65,0.0,top
U101,147.385,-101.21,270.0,top
U105,122.349999,-89.2,0.0,top
